video_id,sentiment_score
NWQqJDGo4Z4,0.0
Lg5x-YWxpco,-0.5
pDf5sHgvo0A,0.13636363636363635
mH-Sx0lEGjA,0.0
TSW9cla5bmw,0.6
puREqwXzyCI,0.0
LqSkYMmyUWU,1.0
M6LTqtYKDtI,0.8
3IaL0li-LWU,0.16666666666666669
vFK7oWLWapc,-0.6999999999999998
Da2crn5NXc4,0.43333333333333335
GyvRamX1VyA,0.2
Yq4_YocuVeg,0.0
0PW9MWDWLH8,0.0
SJUhFjNfaZY,0.0
TfHJJeiS-aI,0.0
leFNoUJmJ9o,0.0
X5DWRXTOUD0,0.0
Zxag9p-63RU,0.43333333333333335
FaxqVBYVOVU,0.0
HszBf-CJeVE,0.0
-xt_j2aIAkg,0.0
FTv-CE43PpM,0.0
UQHSK-kgONk,0.0
_akwfRuL4os,0.0
XcUiOyKclOI,0.15
CWrjDoEBQsw,-0.1
pmdVVDkvJXU,0.0
IuYFvaNHJug,0.06818181818181818
Yhea380bYp0,0.1
8HTdbCohTXY,-0.5
7cTi6PHUqMw,0.0
WKcYTvyoidw,0.0
NYizLfEYKuY,0.04545454545454545
2a52cBN9qOA,0.0
v6d1rShfyZk,0.0
mN4JWnTOSmg,-0.08333333333333333
t5SXnaaOJfY,1.0
SW3X7-gk8q0,0.0
qvLyNeMGdR4,0.0
XisRqF3ympA,0.0
jR5k_1Jgf2Y,0.0
VjEyUUQP1s8,0.0
5HUCAF6898w,0.0
rovAxg5A48Q,0.0
nkXGohB02V0,0.09761904761904763
wV7RsaTY228,0.0
9VH4yQrU_SY,0.25
1lGHZ5NMHRY,0.0
Wen6VQS6NG4,0.0
6VoJHrdoIJw,0.2
JaNmH8A-4NM,0.13636363636363635
s7wLPGmnahE,0.0
KIFiLnPHUoM,0.0
aXLS_WDIugk,0.0
a9i2wTxsxV0,0.0
avDL9JRcmgs,-0.09999999999999998
TncLBbJ8SZo,0.0
mqbwgqoF64Q,0.0
LmO1y1ISuak,0.0
xGz_FZ0ePwE,0.0
